Hora;Day of din_instante;Measure Names;Avg. Val Geração FIXED Hora;Measure Values;;;;
00:00;;Mínimo Mensal;;0;;;;
01:00;;Mínimo Mensal;;0;;;;
02:00;;Mínimo Mensal;;0;;;;
03:00;;Mínimo Mensal;;0;;;;
04:00;;Mínimo Mensal;;0;;;;
05:00;;Mínimo Mensal;;0;;;;dracena
06:00;;Mínimo Mensal;;0.035;;;;
07:00;;Mínimo Mensal;;0.738;;;;
08:00;;Mínimo Mensal;;1.866;;;;
09:00;;Mínimo Mensal;;10.247;;;;
10:00;;Mínimo Mensal;;13.07;;;;
11:00;;Mínimo Mensal;;31.2;;;;
12:00;;Mínimo Mensal;;17.016;;;;
13:00;;Mínimo Mensal;;21.673;;;;
14:00;;Mínimo Mensal;;4.018;;;;
15:00;;Mínimo Mensal;;0.407;;;;
16:00;;Mínimo Mensal;;1.039;;;;
17:00;;Mínimo Mensal;;0.601;;;;
18:00;;Mínimo Mensal;;0.001;;;;
19:00;;Mínimo Mensal;;0;;;;
20:00;;Mínimo Mensal;;0;;;;
21:00;;Mínimo Mensal;;0;;;;
22:00;;Mínimo Mensal;;0;;;;
23:00;;Mínimo Mensal;;0;;;;
00:00;;Média mensal;;0;;;;
01:00;;Média mensal;;0;;;;
02:00;;Média mensal;;0;;;;
03:00;;Média mensal;;0;;;;
04:00;;Média mensal;;0;;;;
05:00;;Média mensal;;0;;;;
06:00;;Média mensal;;0.299354839;;;;
07:00;;Média mensal;;10.141.483.871;;;;
08:00;;Média mensal;;33.155.741.935;;;;
09:00;;Média mensal;;46.624.838.710;;;;
10:00;;Média mensal;;53.364.838.710;;;;
11:00;;Média mensal;;56.882.645.161;;;;
12:00;;Média mensal;;57.009.258.065;;;;
13:00;;Média mensal;;54.041.870.968;;;;
14:00;;Média mensal;;42.188.258.065;;;;
15:00;;Média mensal;;37.392.741.935;;;;
16:00;;Média mensal;;30.587.129.032;;;;
17:00;;Média mensal;;13.981;;;;
18:00;;Média mensal;;1.084.032.258;;;;
19:00;;Média mensal;;0;;;;
20:00;;Média mensal;;0;;;;
21:00;;Média mensal;;0;;;;
22:00;;Média mensal;;0;;;;
23:00;;Média mensal;;0;;;;
00:00;;Máximo mensal;;0;;;;
01:00;;Máximo mensal;;0;;;;
02:00;;Máximo mensal;;0;;;;
03:00;;Máximo mensal;;0;;;;
04:00;;Máximo mensal;;0;;;;
05:00;;Máximo mensal;;0;;;;
06:00;;Máximo mensal;;1.388;;;;
07:00;;Máximo mensal;;21.195;;;;
08:00;;Máximo mensal;;57.752;;;;
09:00;;Máximo mensal;;67.815;;;;
10:00;;Máximo mensal;;68.742;;;;
11:00;;Máximo mensal;;68.805;;;;
12:00;;Máximo mensal;;68.82;;;;
13:00;;Máximo mensal;;69.04;;;;
14:00;;Máximo mensal;;67.618;;;;
15:00;;Máximo mensal;;66.646;;;;
16:00;;Máximo mensal;;58.483;;;;
17:00;;Máximo mensal;;33.157;;;;
18:00;;Máximo mensal;;3.136;;;;
19:00;;Máximo mensal;;0;;;;
20:00;;Máximo mensal;;0;;;;
21:00;;Máximo mensal;;0;;;;
22:00;;Máximo mensal;;0;;;;
23:00;;Máximo mensal;;0;;;;
00:00;March 31, 2022;;0;;;;;
