Hora;Day of din_instante;Measure Names;Avg. Val Geração FIXED Hora;Measure Values;;;;
00:00;;Mínimo Mensal;;0;;;;
01:00;;Mínimo Mensal;;0;;;;icara1
02:00;;Mínimo Mensal;;0;;;;
03:00;;Mínimo Mensal;;0;;;;
04:00;;Mínimo Mensal;;0;;;;
05:00;;Mínimo Mensal;;0;;;;
06:00;;Mínimo Mensal;;0;;;;
07:00;;Mínimo Mensal;;0;;;;
08:00;;Mínimo Mensal;;0;;;;
09:00;;Mínimo Mensal;;0;;;;
10:00;;Mínimo Mensal;;0;;;;
11:00;;Mínimo Mensal;;0.002;;;;
12:00;;Mínimo Mensal;;0;;;;
13:00;;Mínimo Mensal;;0.044;;;;
14:00;;Mínimo Mensal;;0;;;;
15:00;;Mínimo Mensal;;0;;;;
16:00;;Mínimo Mensal;;0;;;;
17:00;;Mínimo Mensal;;0.104;;;;
18:00;;Mínimo Mensal;;0;;;;
19:00;;Mínimo Mensal;;0.671;;;;
20:00;;Mínimo Mensal;;0.076;;;;
21:00;;Mínimo Mensal;;0;;;;
22:00;;Mínimo Mensal;;0;;;;
23:00;;Mínimo Mensal;;0;;;;
00:00;;Média mensal;;15.236.774.194;;;;
01:00;;Média mensal;;10.756.903.226;;;;
02:00;;Média mensal;;9.637.483.871;;;;
03:00;;Média mensal;;8.585.935.484;;;;
04:00;;Média mensal;;8.830.193.548;;;;
05:00;;Média mensal;;9.456.967.742;;;;
06:00;;Média mensal;;11.889.774.194;;;;
07:00;;Média mensal;;9.743.806.452;;;;
08:00;;Média mensal;;8.401.580.645;;;;
09:00;;Média mensal;;16.278.838.710;;;;
10:00;;Média mensal;;22.711.774.194;;;;
11:00;;Média mensal;;31.850.612.903;;;;
12:00;;Média mensal;;34.856.483.871;;;;
13:00;;Média mensal;;37.771.903.226;;;;
14:00;;Média mensal;;37.033.806.452;;;;
15:00;;Média mensal;;31.910.612.903;;;;
16:00;;Média mensal;;28.536.967.742;;;;
17:00;;Média mensal;;23.812.903.226;;;;
18:00;;Média mensal;;21.524.096.774;;;;
19:00;;Média mensal;;20.759.129.032;;;;
20:00;;Média mensal;;18.565.838.710;;;;
21:00;;Média mensal;;16.056.677.419;;;;
22:00;;Média mensal;;17.768.387.097;;;;
23:00;;Média mensal;;16.011.645.161;;;;
00:00;;Máximo mensal;;58.582;;;;
01:00;;Máximo mensal;;38.919;;;;
02:00;;Máximo mensal;;43.173;;;;
03:00;;Máximo mensal;;39.724;;;;
04:00;;Máximo mensal;;22.321;;;;
05:00;;Máximo mensal;;25.448;;;;
06:00;;Máximo mensal;;39.803;;;;
07:00;;Máximo mensal;;100.206;;;;
08:00;;Máximo mensal;;40.106;;;;
09:00;;Máximo mensal;;67.034;;;;
10:00;;Máximo mensal;;83.204;;;;
11:00;;Máximo mensal;;77.265;;;;
12:00;;Máximo mensal;;84.8;;;;
13:00;;Máximo mensal;;95.292;;;;
14:00;;Máximo mensal;;100.314;;;;
15:00;;Máximo mensal;;105.884;;;;
16:00;;Máximo mensal;;113.738;;;;
17:00;;Máximo mensal;;84.858;;;;
18:00;;Máximo mensal;;59.817;;;;
19:00;;Máximo mensal;;73.212;;;;
20:00;;Máximo mensal;;50.789;;;;
21:00;;Máximo mensal;;50.114;;;;
22:00;;Máximo mensal;;71.093;;;;
23:00;;Máximo mensal;;52.471;;;;
00:00;March 31, 2022;;44.521;;;;;
01:00;March 31, 2022;;38.919;;;;;
02:00;March 31, 2022;;43.173;;;;;
03:00;March 31, 2022;;39.724;;;;;
04:00;March 31, 2022;;18.946;;;;;
05:00;March 31, 2022;;16.003;;;;;
06:00;March 31, 2022;;30.443;;;;;
07:00;March 31, 2022;;10.113;;;;;
08:00;March 31, 2022;;3.935;;;;;
09:00;March 31, 2022;;11.378;;;;;
10:00;March 31, 2022;;9.934;;;;;
11:00;March 31, 2022;;52.354;;;;;
12:00;March 31, 2022;;0.565;;;;;
13:00;March 31, 2022;;0.139;;;;;
14:00;March 31, 2022;;0.743;;;;;
15:00;March 31, 2022;;0.687;;;;;
16:00;March 31, 2022;;0.687;;;;;
17:00;March 31, 2022;;0.687;;;;;
18:00;March 31, 2022;;0.687;;;;;
19:00;March 31, 2022;;0.687;;;;;
20:00;March 31, 2022;;0.687;;;;;
21:00;March 31, 2022;;0.687;;;;;
22:00;March 31, 2022;;0.687;;;;;
23:00;March 31, 2022;;0.687;;;;;
00:00;March 30, 2022;;0.547;;;;;
01:00;March 30, 2022;;3.64;;;;;
02:00;March 30, 2022;;14.71;;;;;
03:00;March 30, 2022;;18.477;;;;;
04:00;March 30, 2022;;13.477;;;;;
05:00;March 30, 2022;;9.873;;;;;
06:00;March 30, 2022;;32.692;;;;;
07:00;March 30, 2022;;100.206;;;;;
08:00;March 30, 2022;;40.106;;;;;
09:00;March 30, 2022;;59.165;;;;;
10:00;March 30, 2022;;25.975;;;;;
11:00;March 30, 2022;;9.949;;;;;
12:00;March 30, 2022;;14.442;;;;;
13:00;March 30, 2022;;12.984;;;;;
14:00;March 30, 2022;;0.6;;;;;
15:00;March 30, 2022;;7.141;;;;;
16:00;March 30, 2022;;22.798;;;;;
17:00;March 30, 2022;;45.662;;;;;
18:00;March 30, 2022;;43.817;;;;;
19:00;March 30, 2022;;42.129;;;;;
20:00;March 30, 2022;;18.389;;;;;
21:00;March 30, 2022;;20.579;;;;;
22:00;March 30, 2022;;15.962;;;;;
23:00;March 30, 2022;;22.539;;;;;
00:00;March 29, 2022;;0.816;;;;;
01:00;March 29, 2022;;1.132;;;;;
02:00;March 29, 2022;;3.171;;;;;
03:00;March 29, 2022;;2.322;;;;;
04:00;March 29, 2022;;3.642;;;;;
05:00;March 29, 2022;;0.007;;;;;
06:00;March 29, 2022;;0;;;;;
07:00;March 29, 2022;;0.374;;;;;
08:00;March 29, 2022;;3.369;;;;;
09:00;March 29, 2022;;46.484;;;;;
10:00;March 29, 2022;;83.204;;;;;
11:00;March 29, 2022;;56.361;;;;;
12:00;March 29, 2022;;58.762;;;;;
13:00;March 29, 2022;;34.562;;;;;
14:00;March 29, 2022;;21.777;;;;;
15:00;March 29, 2022;;16.556;;;;;
16:00;March 29, 2022;;6.976;;;;;
17:00;March 29, 2022;;2.862;;;;;
18:00;March 29, 2022;;13.279;;;;;
19:00;March 29, 2022;;15.852;;;;;
20:00;March 29, 2022;;21.764;;;;;
21:00;March 29, 2022;;14.646;;;;;
22:00;March 29, 2022;;2.581;;;;;
23:00;March 29, 2022;;1.697;;;;;
00:00;March 28, 2022;;3.605;;;;;
01:00;March 28, 2022;;26.635;;;;;
02:00;March 28, 2022;;21.012;;;;;
03:00;March 28, 2022;;13.698;;;;;
04:00;March 28, 2022;;16.728;;;;;
05:00;March 28, 2022;;12.417;;;;;
06:00;March 28, 2022;;26.636;;;;;
07:00;March 28, 2022;;20.211;;;;;
08:00;March 28, 2022;;19.719;;;;;
09:00;March 28, 2022;;12.778;;;;;
10:00;March 28, 2022;;7.235;;;;;
11:00;March 28, 2022;;22.256;;;;;
12:00;March 28, 2022;;51.205;;;;;
13:00;March 28, 2022;;43.71;;;;;
14:00;March 28, 2022;;26.181;;;;;
15:00;March 28, 2022;;14.655;;;;;
16:00;March 28, 2022;;14.189;;;;;
17:00;March 28, 2022;;29.664;;;;;
18:00;March 28, 2022;;26.834;;;;;
19:00;March 28, 2022;;8.823;;;;;
20:00;March 28, 2022;;10.641;;;;;
21:00;March 28, 2022;;7.427;;;;;
22:00;March 28, 2022;;7.357;;;;;
23:00;March 28, 2022;;2.142;;;;;
00:00;March 27, 2022;;19.127;;;;;
01:00;March 27, 2022;;19.05;;;;;
02:00;March 27, 2022;;20.425;;;;;
03:00;March 27, 2022;;20.066;;;;;
04:00;March 27, 2022;;19.146;;;;;
05:00;March 27, 2022;;23.903;;;;;
06:00;March 27, 2022;;13.918;;;;;
07:00;March 27, 2022;;5.092;;;;;
08:00;March 27, 2022;;0.509;;;;;
09:00;March 27, 2022;;8.508;;;;;
10:00;March 27, 2022;;30.135;;;;;
11:00;March 27, 2022;;41.496;;;;;
12:00;March 27, 2022;;24.329;;;;;
13:00;March 27, 2022;;32.561;;;;;
14:00;March 27, 2022;;37.631;;;;;
15:00;March 27, 2022;;59.805;;;;;
16:00;March 27, 2022;;35.051;;;;;
17:00;March 27, 2022;;26.22;;;;;
18:00;March 27, 2022;;31.558;;;;;
19:00;March 27, 2022;;29.665;;;;;
20:00;March 27, 2022;;50.789;;;;;
21:00;March 27, 2022;;28.837;;;;;
22:00;March 27, 2022;;12.325;;;;;
23:00;March 27, 2022;;5.798;;;;;
00:00;March 26, 2022;;0.009;;;;;
01:00;March 26, 2022;;0;;;;;
02:00;March 26, 2022;;9.177;;;;;
03:00;March 26, 2022;;4.884;;;;;
04:00;March 26, 2022;;8.119;;;;;
05:00;March 26, 2022;;3.445;;;;;
06:00;March 26, 2022;;0.23;;;;;
07:00;March 26, 2022;;0.575;;;;;
08:00;March 26, 2022;;2.348;;;;;
09:00;March 26, 2022;;14.39;;;;;
10:00;March 26, 2022;;17.415;;;;;
11:00;March 26, 2022;;23.505;;;;;
12:00;March 26, 2022;;24.078;;;;;
13:00;March 26, 2022;;42.888;;;;;
14:00;March 26, 2022;;76.401;;;;;
15:00;March 26, 2022;;42.162;;;;;
16:00;March 26, 2022;;14.216;;;;;
17:00;March 26, 2022;;19.045;;;;;
18:00;March 26, 2022;;9.567;;;;;
19:00;March 26, 2022;;13.343;;;;;
20:00;March 26, 2022;;16.119;;;;;
21:00;March 26, 2022;;20.966;;;;;
22:00;March 26, 2022;;11.926;;;;;
23:00;March 26, 2022;;23.76;;;;;
00:00;March 25, 2022;;6.29;;;;;
01:00;March 25, 2022;;2.022;;;;;
02:00;March 25, 2022;;5.356;;;;;
03:00;March 25, 2022;;2.972;;;;;
04:00;March 25, 2022;;1.835;;;;;
05:00;March 25, 2022;;0.959;;;;;
06:00;March 25, 2022;;1.215;;;;;
07:00;March 25, 2022;;0.912;;;;;
08:00;March 25, 2022;;1.259;;;;;
09:00;March 25, 2022;;9.901;;;;;
10:00;March 25, 2022;;10.528;;;;;
11:00;March 25, 2022;;20.093;;;;;
12:00;March 25, 2022;;32.853;;;;;
13:00;March 25, 2022;;39.404;;;;;
14:00;March 25, 2022;;41.958;;;;;
15:00;March 25, 2022;;26.168;;;;;
16:00;March 25, 2022;;18.08;;;;;
17:00;March 25, 2022;;8.395;;;;;
18:00;March 25, 2022;;12.787;;;;;
19:00;March 25, 2022;;12.854;;;;;
20:00;March 25, 2022;;13.454;;;;;
21:00;March 25, 2022;;4.897;;;;;
22:00;March 25, 2022;;0.292;;;;;
23:00;March 25, 2022;;0;;;;;
00:00;March 24, 2022;;0.678;;;;;
01:00;March 24, 2022;;0.095;;;;;
02:00;March 24, 2022;;0.251;;;;;
03:00;March 24, 2022;;0.532;;;;;
04:00;March 24, 2022;;1.038;;;;;
05:00;March 24, 2022;;0;;;;;
06:00;March 24, 2022;;0;;;;;
07:00;March 24, 2022;;0;;;;;
08:00;March 24, 2022;;0;;;;;
