Hora;Day of din_instante;Measure Names;Avg. Val Geração FIXED Hora;Measure Values;;;
00:00;;Mínimo Mensal;;0;;;
01:00;;Mínimo Mensal;;0;;;
02:00;;Mínimo Mensal;;0;;;praia formosa
03:00;;Mínimo Mensal;;0;;;
04:00;;Mínimo Mensal;;0;;;
05:00;;Mínimo Mensal;;0;;;
06:00;;Mínimo Mensal;;0;;;
07:00;;Mínimo Mensal;;0;;;
08:00;;Mínimo Mensal;;0;;;
09:00;;Mínimo Mensal;;0;;;
10:00;;Mínimo Mensal;;0;;;
11:00;;Mínimo Mensal;;0;;;
12:00;;Mínimo Mensal;;0;;;
13:00;;Mínimo Mensal;;0;;;
14:00;;Mínimo Mensal;;0;;;
15:00;;Mínimo Mensal;;0;;;
16:00;;Mínimo Mensal;;0;;;
17:00;;Mínimo Mensal;;0;;;
18:00;;Mínimo Mensal;;0;;;
19:00;;Mínimo Mensal;;0;;;
20:00;;Mínimo Mensal;;0;;;
21:00;;Mínimo Mensal;;0;;;
22:00;;Mínimo Mensal;;0;;;
23:00;;Mínimo Mensal;;0;;;
00:00;;Média mensal;;1.881.709.677;;;
01:00;;Média mensal;;2.299.903.226;;;
02:00;;Média mensal;;2.257.161.290;;;
03:00;;Média mensal;;2.583.741.935;;;
04:00;;Média mensal;;3.600.161.290;;;
05:00;;Média mensal;;5.311.645.161;;;
06:00;;Média mensal;;5.757.709.677;;;
07:00;;Média mensal;;2.289.419.355;;;
08:00;;Média mensal;;2.391.193.548;;;
09:00;;Média mensal;;3.754.258.065;;;
10:00;;Média mensal;;7.838.387.097;;;
11:00;;Média mensal;;8.948.193.548;;;
12:00;;Média mensal;;14.204.064.516;;;
13:00;;Média mensal;;15.971.741.935;;;
14:00;;Média mensal;;21.261.903.226;;;
15:00;;Média mensal;;17.323.129.032;;;
16:00;;Média mensal;;17.689.032.258;;;
17:00;;Média mensal;;17.048.322.581;;;
18:00;;Média mensal;;16.151.161.290;;;
19:00;;Média mensal;;13.333.387.097;;;
20:00;;Média mensal;;10.231.064.516;;;
21:00;;Média mensal;;7.887.612.903;;;
22:00;;Média mensal;;5.336.032.258;;;
23:00;;Média mensal;;3.172.161.290;;;
00:00;;Máximo mensal;;22.727;;;
01:00;;Máximo mensal;;17.643;;;
02:00;;Máximo mensal;;14.635;;;
03:00;;Máximo mensal;;11.177;;;
04:00;;Máximo mensal;;15.682;;;
05:00;;Máximo mensal;;42.647;;;
06:00;;Máximo mensal;;21.379;;;
07:00;;Máximo mensal;;11.61;;;
08:00;;Máximo mensal;;22.578;;;
09:00;;Máximo mensal;;19.937;;;
10:00;;Máximo mensal;;34.719;;;
11:00;;Máximo mensal;;36.63;;;
12:00;;Máximo mensal;;48.071;;;
13:00;;Máximo mensal;;62.646;;;
14:00;;Máximo mensal;;60.538;;;
15:00;;Máximo mensal;;63.341;;;
16:00;;Máximo mensal;;68.755;;;
17:00;;Máximo mensal;;70.818;;;
18:00;;Máximo mensal;;73.122;;;
19:00;;Máximo mensal;;63.153;;;
20:00;;Máximo mensal;;57.856;;;
21:00;;Máximo mensal;;57.856;;;
22:00;;Máximo mensal;;31.425;;;
23:00;;Máximo mensal;;20.345;;;
00:00;March 31, 2022;;0.014;;;;
